2026-04-28 17:45:36,322 | INFO | Auto-hertraining gepland elke 24 uur
2026-04-28 17:45:36,322 | INFO | Monster Bot gestart | PAPER TRADING | ['BTC/USDT', 'ETH/USDT', 'SOL/USDT']
2026-04-28 17:45:44,954 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:45:46,287 | INFO | TRADE | ETH/USDT | SHORT @ 2274.8100 | PnL: +0.00%
2026-04-28 17:45:48,591 | INFO | TRADE | SOL/USDT | SHORT @ 83.3400 | PnL: +0.00%
2026-04-28 17:46:50,823 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:47:53,306 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:48:55,756 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:49:58,207 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:51:02,487 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:52:07,657 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:52:08,227 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:53:10,147 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:53:10,891 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:54:12,744 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:54:13,331 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:55:15,458 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 17:55:16,024 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
